"","PT08.S1.CO.","NMHC.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3."
"1",1360,150,1046,166,1056,113,1692,1268
"2",1292,112,955,103,1174,92,1559,972
"3",1402,88,939,131,1140,114,1555,1074
"4",1376,80,948,172,1092,122,1584,1203
"5",1272,51,836,131,1205,116,1490,1110
"6",1197,38,750,89,1337,96,1393,949
"7",1185,31,690,62,1462,77,1333,733
"8",1136,31,672,62,1453,76,1333,730
"9",1094,24,609,45,1579,60,1276,620
"10",1010,19,561,-200,1705,-200,1235,501
"11",1011,14,527,21,1818,34,1197,445
"12",1066,8,512,16,1918,28,1182,422
"13",1052,16,553,34,1738,48,1221,472
"14",1144,29,667,98,1490,82,1339,730
"15",1333,64,900,174,1136,112,1517,1102
"16",1351,87,960,129,1079,101,1583,1028
"17",1233,77,827,112,1218,98,1446,860
"18",1179,43,762,95,1328,92,1362,671
"19",1236,61,774,104,1301,95,1401,664
"20",1286,63,869,146,1162,112,1537,799
"21",1371,164,1034,207,983,128,1730,1037
"22",1310,79,933,184,1082,126,1647,946
"23",1292,95,912,193,1103,131,1591,957
"24",1383,150,1020,243,1008,135,1719,1104
"25",1581,307,1319,281,799,151,2083,1409
"26",1776,461,1488,383,702,172,2333,1704
"27",1640,401,1404,351,743,165,2191,1654
"28",1313,197,1076,240,957,136,1707,1285
"29",965,61,749,94,1325,85,1333,821
"30",913,26,629,47,1565,53,1252,552
"31",1080,55,805,122,1254,97,1375,816
"32",1044,53,829,133,1247,110,1378,832
"33",988,40,718,82,1396,91,1304,692
"34",889,21,574,-200,1680,-200,1187,512
"35",831,10,506,21,1893,32,1134,384
"36",847,7,501,30,1895,44,1155,394
"37",927,17,571,56,1685,71,1223,487
"38",1091,33,730,109,1387,104,1361,748
"39",1587,202,1236,307,897,141,1900,1400
"40",1545,-200,1353,-200,767,-200,2058,1588
"41",1350,208,1118,187,912,122,1712,1237
"42",1263,166,1037,216,969,143,1598,1167
"43",1206,114,986,143,1035,113,1537,959
"44",1252,140,1016,160,1008,116,1593,983
"45",1287,169,1078,163,949,123,1660,1061
"46",1353,185,1122,190,922,126,1740,1139
"47",1309,165,1073,178,954,120,1657,1112
"48",1274,133,1041,150,1006,119,1610,994
"49",1510,233,1277,206,812,149,1910,1410
"50",1525,242,1246,202,821,145,1847,1448
"51",1843,488,1610,340,624,170,2390,1887
"52",1598,333,1299,274,752,149,1941,1627
"53",1484,215,1127,253,839,139,1723,1491
"54",1677,367,1346,300,741,134,2062,1657
"55",1280,122,964,193,963,113,1544,1285
"56",1196,67,873,139,1071,97,1463,1144
"57",1184,43,782,83,1176,82,1365,1043
"58",1172,46,783,-200,1179,-200,1380,996
"59",1147,56,821,109,1132,83,1412,992
"60",978,30,625,62,1420,65,1274,819
"61",1100,27,646,53,1406,60,1268,835
"62",1112,47,770,139,1228,77,1409,940
"63",1336,132,1043,256,935,96,1678,1192
"64",1408,239,1153,295,830,119,1777,1411
"65",1447,160,1081,250,869,126,1667,1465
"66",1542,283,1184,296,808,158,1780,1583
"67",1451,210,1117,239,875,161,1679,1387
"68",1328,154,1059,153,987,124,1600,1101
"69",1207,112,924,118,1088,102,1488,850
"70",1240,108,947,119,1049,116,1532,947
"71",1306,111,987,138,1004,124,1554,1078
"72",1326,97,1000,148,976,125,1602,1084
"73",1473,191,1163,227,831,148,1779,1395
"74",1609,258,1286,277,758,165,1922,1612
"75",1611,284,1274,279,754,161,1915,1697
"76",1621,269,1247,283,762,159,1860,1886
"77",1444,180,1089,214,844,143,1748,1624
"78",1418,116,1010,172,892,130,1603,1536
"79",1534,93,1013,190,889,129,1611,1535
"80",1484,131,1045,174,880,119,1624,1530
"81",1367,92,925,128,953,104,1543,1337
"82",1344,132,968,-200,921,-200,1620,1278
"83",1130,56,773,70,1130,82,1452,1051
"84",1062,32,691,53,1272,70,1377,929
"85",1076,29,618,44,1395,63,1333,872
"86",1028,27,615,74,1384,67,1340,853
"87",1155,36,722,101,1225,84,1414,959
"88",1235,57,828,118,1055,83,1527,1093
"89",1332,129,923,144,952,98,1614,1225
"90",1445,148,1009,176,878,114,1696,1355
"91",1416,145,1002,161,907,119,1677,1262
"92",1281,93,880,113,1084,104,1525,980
"93",1207,84,879,103,1104,102,1490,872
"94",1258,99,906,112,1081,107,1511,900
"95",1458,150,1045,170,974,129,1646,1099
"96",1438,156,1051,180,943,128,1668,1206
"97",1478,122,1055,160,929,121,1671,1262
"98",1808,262,1312,261,753,157,1993,1698
"99",1898,341,1381,325,681,173,2103,1905
"100",1560,214,1140,217,784,146,1818,1648
"101",1324,100,940,146,924,121,1587,1423
"102",1349,79,933,152,933,119,1617,1349
"103",1239,66,872,104,985,99,1547,1250
"104",1239,73,853,106,1010,93,1543,1174
"105",1224,66,855,108,998,88,1566,1149
"106",1078,44,734,-200,1128,-200,1487,1021
"107",1078,44,711,66,1150,71,1468,1013
"108",1075,39,703,88,1156,74,1464,1010
"109",1157,51,830,138,1030,80,1584,1083
"110",1314,107,966,228,897,89,1710,1235
"111",1797,336,1451,360,652,114,2323,1680
"112",1961,618,1701,478,537,149,2665,2184
"113",1771,438,1470,394,622,157,2262,1973
"114",1564,334,1300,319,710,155,2029,1798
"115",1430,221,1120,201,831,134,1783,1522
"116",1417,207,1146,171,830,119,1831,1404
"117",1400,191,1162,159,838,111,1829,1263
"118",1317,185,1053,153,926,104,1707,1137
"119",1318,141,1033,143,950,99,1675,1068
"120",1445,214,1141,156,857,110,1824,1252
"121",1917,471,1601,314,631,162,2447,1843
"122",2040,685,1754,404,542,187,2679,2122
"123",1895,538,1573,320,565,165,2443,1992
"124",1595,319,1294,256,678,145,2058,1707
"125",1439,224,1159,193,764,125,1856,1494
"126",1142,67,852,89,1008,101,1547,1164
"127",1304,155,1019,127,852,103,1731,1272
"128",1074,49,784,79,1098,88,1483,1040
"129",968,29,640,43,1320,61,1386,867
"130",929,25,608,-200,1376,-200,1364,826
"131",941,25,626,59,1316,59,1373,840
"132",937,17,585,38,1412,52,1348,793
"133",1017,27,681,82,1246,64,1418,870
"134",1171,50,770,99,1162,70,1467,930
"135",1541,218,1185,263,770,97,1889,1407
"136",1539,285,1287,229,698,95,2055,1507
"137",1735,437,1431,396,628,150,2211,1843
"138",1571,327,1297,314,730,162,1973,1729
"139",1452,283,1250,217,776,154,1868,1583
"140",1579,366,1359,252,724,161,1998,1671
"141",1466,318,1309,263,773,161,1897,1491
"142",1280,228,1136,180,893,128,1675,1240
"143",1407,201,1197,184,905,129,1759,1313
"144",1389,199,1173,190,898,133,1739,1363
"145",1447,237,1235,184,859,139,1778,1296
"146",1551,261,1271,181,800,137,1875,1432
"147",1474,230,1173,166,854,143,1776,1432
"148",1800,349,1426,317,700,177,2106,2034
"149",1379,183,1101,184,818,138,1710,1602
"150",1201,88,943,130,935,117,1560,1362
"151",1205,85,925,132,922,107,1547,1314
"152",1072,47,784,95,1066,90,1442,1114
"153",998,34,714,70,1169,79,1383,992
"154",933,26,625,-200,1292,-200,1332,884
"155",883,17,577,54,1396,60,1303,808
"156",869,11,554,28,1460,40,1268,667
"157",891,18,576,46,1417,53,1289,733
"158",1173,84,878,160,1038,84,1556,1052
"159",1587,260,1334,320,702,108,1999,1534
"160",1852,534,1696,377,553,127,2535,1931
"161",1522,368,1331,280,703,134,2026,1734
"162",1438,200,1161,221,819,135,1782,1595
"163",1393,145,1067,210,905,142,1654,1490
"164",1452,188,1152,204,861,153,1747,1508
"165",1389,152,1108,161,887,123,1712,1334
"166",1207,103,994,135,1013,104,1520,1045
"167",1365,193,1154,186,940,129,1679,1221
"168",1247,134,1060,147,1032,114,1525,1069
"169",1557,386,1478,299,793,158,1981,1569
"170",1973,577,1737,411,617,194,2414,2306
"171",1975,523,1667,347,597,182,2416,2359
"172",1795,472,1485,336,653,180,2174,2050
"173",1444,206,1150,202,770,136,1727,1727
"174",1488,216,1171,178,731,127,1778,1705
"175",1371,159,1083,154,796,116,1669,1551
"176",1161,70,904,92,947,107,1502,1240
"177",1064,44,787,61,1057,88,1407,1115
"178",970,42,687,-200,1196,-200,1351,969
"179",954,28,645,60,1260,78,1334,925
"180",931,20,623,37,1293,57,1307,828
"181",938,26,650,68,1251,71,1333,893
"182",1166,78,885,139,1005,85,1551,1075
"183",1643,319,1384,339,667,124,2094,1610
"184",1934,506,1682,421,541,151,2468,2051
"185",1617,-200,1333,349,686,150,2010,1819
"186",1473,-200,1127,224,831,152,1752,1568
"187",1379,-200,1068,171,899,139,1663,1374
"188",1385,-200,1056,149,891,133,1648,1268
"189",1379,-200,1087,137,901,126,1660,1144
"190",1322,-200,1129,149,934,128,1639,1109
"191",1496,-200,1205,172,822,169,1767,1347
"192",1409,-200,1131,166,873,149,1689,1206
"193",1513,-200,1338,214,764,156,1957,1397
"194",1667,-200,1464,280,683,168,2118,1588
"195",1667,-200,1453,276,684,176,2051,1569
"196",1430,-200,1121,178,814,135,1732,1322
"197",1333,-200,989,129,885,121,1621,1194
"198",1262,-200,911,95,948,99,1545,1062
"199",1287,-200,936,126,918,106,1606,1040
"200",1134,-200,840,103,1021,96,1501,917
